Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Сич;Юстим;Микитович;Чоловік;1942-05-27;Детектив;село Сновськ;вулиця Ляпунова, буд. 224 кв. 538, Сватове, 60828;139-94-80;gabramchuk@example.net
Стельмах;Станіслав;Панасович;Чоловік;1997-05-23;Біолог;село Новогродівка;шосе Вапняна, буд. 727 кв. 369, Рава-Руська, 17515;996-47-66;bohdan78@example.org
Деревʼянко;Тарас;Захарович;Чоловік;1984-06-26;Гінеколог;село Мирноград;узвіз Лобачевського, буд. 51 кв. 1, Маріуполь, 16850;042 339 10 13;amaliia17@example.org
Салій;Азар;Ярославович;Чоловік;1964-11-01;Прокурор;місто Новий Розділ;парк Чорноморський, буд. 713, Лисичанськ, 59469;076 996-57-01;iustyna56@example.org
Хорішко;Охрім;Несторович;Чоловік;1967-04-18;Пекар;хутір Стрий;проспект Книжковий, буд. 4 кв. 28, Вільногірськ, 21361;009 674 46 35;zsemenchenko@example.com
Жаліло;Ігор;Володимирович;Чоловік;1979-03-30;Фольклорист;місто Селидове;сквер Маршала Говорова, буд. 5, Долинська, 26727;+380 01 571-51-69;mariia48@example.net
Атаманчук;Назар;Валентинович;Чоловік;1938-01-07;Флорист;хутір Фастів;набережна Косовський, буд. 449 кв. 273, Мала Виска, 96489;+380 45 858-30-21;jkanivets@example.org
Палій;Олекса;Григорійович;Чоловік;1956-12-15;Провізор;місто Балта;площа Паустовського, буд. 7 кв. 36, Миколаївка , 12703;+380 (81) 928-41-67;bezditkoorysia@example.org
Парасюк;Давид;Аркадійович;Чоловік;1943-08-26;Паблік рилейшнз;селище Хмельницький;проспект Вертелецького, буд. 0 кв. 6, Полтава, 17689;+380 65 344 84 02;ndankiv@example.com
Вергун;Мирон;Станіславович;Чоловік;1944-09-18;Перекладач;селище Вільнянськ;проспект Жевахова, буд. 610 кв. 756, Молодогвардійськ, 94511;+380 72 949-95-43;anton01@example.com
Шахрай;Пилип;Максимович;Чоловік;1965-03-07;Кінолог;місто Тетіїв;шосе Нова, буд. 1 кв. 089, Вільнянськ, 13557;+380 37 831-33-02;jlytvyn@example.com
Свистун;Степан;Олексович;Чоловік;1973-12-22;Філолог;місто Очаків;вулиця Сталепрокатна, буд. 77, Славута, 47211;070-56-33;snizhanazhuchenko@example.org
Симоненко;Валентин;Хомович;Чоловік;1976-09-20;Дипломат;місто Вишневе ;набережна Місячна, буд. 640, Новий Буг, 52225;+380 29 068-56-93;iaroslav51@example.net
Чумак;Борис;Хомович;Чоловік;1970-02-27;Доцент;селище Любомль;сквер Мигдальна, буд. 644, Іллінці, 34323;+380 64 168-91-27;trokhymshovkoplias@example.net
Носаченко;Борис;Адамович;Чоловік;2000-06-11;Ювелір;місто Сватове;площа Амундсена, 3-й, буд. 927, Севастополь, 77272;159-53-51;kostiantynvivcharenko@example.net
Влох;Костянтин;Степанович;Чоловік;1942-02-22;Біолог;хутір Попасна;вулиця Злакова, буд. 599 кв. 2, Лебедин, 54876;+380 34 050-20-04;vhavrylenko@example.net
Вовк;Роман;Яремович;Чоловік;1998-07-02;Ґрунтознавець;хутір Теплодар;вулиця Новікова 2-га, буд. 0, Новоселиця, 38982;+380 39 429 96 56;onysymbabych@example.com
Дрозд;Омелян;Теодорович;Чоловік;2004-01-11;Електрик;хутір Путивль;провулок Академіка Гаркавого, буд. 72 кв. 213, Рудки, 77004;991 46 01;dvernyhora@example.org
Гоголь;Амвросій;Прохорович;Чоловік;1986-02-10;Різноробочий;місто Єнакієве;парк Строганова, буд. 7, Докучаєвськ, 20639;+380 43 157 98 53;oleshodunok@example.org
Власюк;Яків;Гаврилович;Чоловік;2002-07-28;Сантехнік;селище Решетилівка;шосе Лиманчик 2-й Лінія 3-тя, буд. 99 кв. 48, Бобровиця, 08311;+380 (06) 426-82-28;mykhailo29@example.com
Карпа;Олег;Амвросійович;Чоловік;1998-04-30;Пекар;хутір Авдіївка;шосе Задніпровського, буд. 470, Міусинськ, 79076;224-60-13;liza81@example.org
Оробець;Дан;Юстимович;Чоловік;2002-05-14;Дантист;хутір Красилів;проспект Троїцька, буд. 61 кв. 734, Новоазовськ, 11121;646 73 85;tymofiistus@example.org
Малишко;Спас;Кирилович;Чоловік;1980-01-14;Модель;хутір Южноукраїнськ;площа Володі Дубініна, буд. 1, Новомосковськ, 11162;+380 06 772-87-36;vmedvedenko@example.com
Мамчур;Марко;Гаврилович;Чоловік;1963-04-26;Стропальник;село Родинське;узвіз Лютневий 2-й, буд. 794, Бучач, 21155;099 666-49-91;vyshyvanyivasyl@example.com
Носенко;Георгій;Веніяминович;Чоловік;1953-01-03;Ґрунтознавець;місто Кипуче;площа Морський, буд. 964 кв. 0, Гола Пристань, 92915;+380 14 095 58 49;vshcherbak@example.net
Цушко;Пилип;Павлович;Чоловік;1939-01-03;Графік;хутір Іршава;площа Чапаєва, буд. 1 кв. 5, Ананьїв, 72697;+380 (99) 170-91-56;garkhypenko@example.org
Аронець;Болеслав;Давидович;Чоловік;1995-06-28;Кіноактор;село Маріуполь;площа Солонцюватий 1-й, буд. 18 кв. 3, Соснівка , 18886;+380 (93) 946-78-87;iaroslavalemeshko@example.net
Гриценко;Миколай;Мирославович;Чоловік;1948-06-25;Провізор;місто Тисмениця;парк Отамана Головатого, буд. 799, Сміла, 93849;+380 38 954 06 76;whavrysh@example.com
Ємець;Дан;Хомович;Чоловік;2008-08-30;Патологоанатом;місто Середина-Буда;вулиця Ільфа і Петрова, буд. 3 кв. 73, Шпола, 45537;+380 (05) 744-38-79;konoplenkoievhen@example.net
Перебийніс;Михайло;Максимович;Чоловік;2006-10-18;Електрослюсар;хутір Верхньодніпровськ;набережна Палубна, буд. 13, Золоте, 21353;008 647-30-07;zchornovil@example.org
Фаренюк;Леон;Семенович;Чоловік;1980-05-14;Фізик;селище Ічня;шосе Академіка Сахарова, буд. 6, Коростень, 68963;+380 97 656-89-17;ozaiets@example.org
Ярош;Валентин;Ігнатович;Чоловік;2006-04-20;Агроном;селище Богодухів;набережна Астрономічна, буд. 62, Умань, 72462;+380 91 069-03-28;opanas45@example.net
Деревʼянко;Орхип;Віталійович;Чоловік;1967-08-17;Водій;хутір Переяслав;сквер Глазунова, буд. 200 кв. 8, Дніпрорудне, 68792;+380 59 128-07-83;ybakumenko@example.org
Прокопович;Веніямин;Остапович;Чоловік;1972-05-24;Антрополог;хутір Сєвєродонецьк;провулок Людмили Гінзбург, буд. 09, Сніжне, 78024;+380 89 148-16-35;fareniukokhrim@example.org
Якименко;Гліб;Гаврилович;Чоловік;1939-05-03;Бібліограф;село Чугуїв;набережна Корнюшина, буд. 559, Лубни, 03552;070 184-08-01;zasiadkosnizhana@example.com
Гук;Василь;Устимович;Чоловік;1985-10-02;Фармацевт;місто Устилуг;площа Балтський 8-й, буд. 0, Мена , 69631;284 02 26;oksanaveres@example.org
Вертипорох;Аврелій;Венедиктович;Чоловік;1978-05-15;Громадський діяч;село Рахів;сквер ім. К.Г. Паустовського, буд. 18, Костянтинівка, 62658;+380 (58) 027-75-80;kyrylo18@example.org
Чаленко;Олесь;Владиславович;Чоловік;1945-07-27;Флорист;місто Гребінка;провулок Середньофонтанська, буд. 01 кв. 384, Чорнобиль, 70347;+380 00 051-82-61;amaliia91@example.org
Іващенко;Симон;Гордійович;Чоловік;1953-09-19;Адвокат;село Перещепине;шосе Софіївська, буд. 4, Кальміуське, 61205;+380 97 823-42-25;nataliiazhuchenko@example.net
Фастенко;Давид;Леонідович;Чоловік;1962-03-07;Мірошник;село Буча;провулок Восьмого Березня Лінія 2-га, буд. 522, Бібрка, 44716;064 372-82-55;hlibzabila@example.org
Андрощук;Едуард;Ааронович;Чоловік;1995-07-15;Дерун;село Добропілля;узвіз Леваневського, буд. 281 кв. 82, Коростишів, 38388;037 637 65 92;iefremskyrda@example.com
Андріїшин;Олесь;Богуславович;Чоловік;1966-01-30;Палеонтолог;хутір Гадяч;набережна Привокзальний, буд. 39, Ківерці, 23129;+380 72 930-96-02;demydiatseniuk@example.com
Забара;Климент;Кирилович;Чоловік;1975-10-17;Астронавт;село Пустомити;шосе Просьолочна, буд. 47 кв. 787, Червоносів, 20547;+380 59 653-18-04;jovcharenko@example.com
Деряжний;Володимир;Степанович;Чоловік;1983-01-06;Кіноактор;селище Виноградів;сквер Східчастий 3-й, буд. 39 кв. 01, Арциз, 71876;+380 17 698-33-00;mazepaoleksandr@example.org
Заєць;Зорян;Богуславович;Чоловік;1999-08-04;Бізнесмен;хутір Гайсин;шосе 6-та Лінія Марії Демченко, буд. 192 кв. 0, Соледар, 95613;+380 74 419-06-57;dziubaiarema@example.com
Дашкевич;Спас;Єфремович;Чоловік;1995-05-20;Реабілітолог;хутір Старий Крим;вулиця Десятого квітня, буд. 55 кв. 329, Хмельницький, 98289;+380 (52) 550-34-35;iaremakhomyk@example.net
Прокопович;Володимир;Бориславович;Чоловік;1972-09-01;Геофізик;селище Енергодар;проспект Райдужна, буд. 909 кв. 2, Бровари, 95203;+380 (02) 851-79-14;nataliianalyvaiko@example.com
Оліфіренко;Володимир;Михайлович;Чоловік;1952-11-24;Ґрунтознавець;селище Жданівка;сквер Тупиковий 1-й, буд. 8 кв. 4, Ладижин, 03780;537 84 75;udovychenkomykhailo@example.org
Запорожець;Адам;Орестович;Чоловік;1985-08-25;Електромонтажник;село Гірник ;вулиця Тупиковий 1-й, буд. 471, Радехів, 04932;+380 50 116 51 11;nazarenkoliliia@example.com
Тригуб;Охрім;Гордійович;Чоловік;1985-01-09;Філолог;хутір Гайсин;площа Польовий 1-й, буд. 26 кв. 659, Вилкове, 75662;040 646 42 78;komarorest@example.org
Гречаник;Андрій;Захарович;Чоловік;1957-06-10;Бібліотекар;селище Первомайськ;проспект Тополиний, буд. 14, Теребовля, 28931;277 79 12;okhrimdubyna@example.com
Асаула;Микита;Захарович;Чоловік;2002-06-21;Зоолог;село Гадяч;парк Посмітного, буд. 35 кв. 540, Богодухів, 72121;+380 16 890 17 74;anzhelafilipenko@example.net
Доценко;Демид;Теодорович;Чоловік;1948-06-28;Золотар;селище Хмільник;шосе Маячний, буд. 0 кв. 0, Зоринськ, 43395;046 703-32-54;gtverdokhlib@example.com
Ярош;Нестор;Симонович;Чоловік;2003-06-11;Ді-джей;хутір Залізне;узвіз Корнюшина, буд. 207 кв. 0, Могилів-Подільський, 61183;628-73-86;avramchukliudmyla@example.com
Левченко;Онисим;Панасович;Чоловік;1967-12-14;Промисловець;селище Новодружеськ;набережна Будівельна, буд. 725 кв. 5, Боярка, 21266;035 684-36-36;hennadii86@example.com
Засядько;Лесь;Назарович;Чоловік;1984-11-03;Локсмайстер;хутір Таврійськ;сквер Сурикова, буд. 23, Жовква, 44416;+380 70 160-53-34;abramchukoles@example.com
Смик;Симон;Данилович;Чоловік;1998-08-16;Ветеринар;місто Рубіжне;набережна 19-й км Старокиївської дороги, буд. 462 кв. 089, Борислав, 72314;+380 63 532-27-25;dubasmykhailo@example.net
Власюк;Богдан;Тимофійович;Чоловік;1954-06-24;Науковець;хутір Шумськ;сквер Морехідна, буд. 1, Великі Мости, 52086;+380 30 141-11-00;rdemianenko@example.net
Дергач;Василь;Богуславович;Чоловік;1993-05-28;Фармацевт;село Попасна;вулиця Іванова Ігоря, буд. 1, Кремінна, 76507;+380 80 103-15-40;zabashtabohodar@example.com
Данько;Роман;Васильович;Чоловік;1989-01-29;Інженер;селище Українка ;площа Першотравневий 3-й, буд. 00 кв. 321, Болград, 67426;829-48-30;stefankozak@example.com
Артюшенко;Гаврило;Миронович;Чоловік;1988-12-26;Футболіст;село Монастириська;парк Суворовська, буд. 744, Іллінці, 37845;058 849-69-14;ivanenkopylyp@example.net
Тичина;Альберт;Назарович;Чоловік;1970-08-25;Намотувальник;хутір Перевальськ;узвіз Скляний 1-й, буд. 0 кв. 4, Сіверськ, 93641;094 71 77;boryslavvasylechko@example.org
Примаченко;Тарас;Пантелеймонович;Чоловік;1992-05-10;Дипломат;селище Сколе;площа Деволанівська, буд. 794 кв. 0, Антрацит , 26190;+380 89 088-72-57;zynovii20@example.net
Палій;Петро;Мартинович;Чоловік;1985-05-06;Літературознавець;місто Вилкове;шосе Амурська, буд. 1, Мукачево, 64712;+380 86 872 32 02;bchaban@example.net
Іванченко;Валерій;Прохорович;Чоловік;2000-07-15;Слідчий;місто Решетилівка;проспект Осіння, буд. 33 кв. 7, Мала Виска, 20970;+380 47 912 00 58;illiaatamaniuk@example.net
Карпа;Трохим;Павлович;Чоловік;1962-04-19;Машиніст;село Вишневе ;парк Амурський 2-й, буд. 9, Білгород-Дністровський, 19715;+380 88 571-89-24;viktoriiaperepelytsia@example.org
Сиротенко;Георгій;Климентович;Чоловік;1952-09-04;Каскадер;хутір Часів Яр;парк Торгова, буд. 8, Нетішин, 45833;+380 63 284-00-54;havryshleonid@example.com
Засуха;Мирослав;Леонідович;Чоловік;1981-12-23;Державний службовець;місто Вінниця;проспект Розумовський 1-й, буд. 149, Нове Давидково, 80493;030 81 53;albert70@example.org
Смик;Демид;Максимович;Чоловік;1970-07-04;Гицель;село Ямпіль;вулиця Лінія 23-тя, буд. 9, Могилів-Подільський, 39480;+380 00 593-84-43;orkhypdatsiuk@example.org
Чумаченко;Андрій;Валерійович;Чоловік;2005-08-04;Диригент;хутір Рудки;вулиця Уральський, буд. 11, Миколаїв, 68984;015 030 43 35;alevtyn55@example.com
Джунь;Дмитро;Семенович;Чоловік;1949-10-13;Слідчий;село Стрий;набережна Десантний, буд. 446 кв. 6, Гнівань, 65211;518-62-09;wiukhymenko@example.net
Сагаль;Спас;Іванович;Чоловік;2005-10-23;Живописець;село Полонне;узвіз Любашівський, буд. 8, Тиврів, 93281;+380 76 117 37 31;lutsenkoherman@example.com
Мазур;Устим;Омелянович;Чоловік;1945-07-06;Пекар;селище Тячів;набережна Коцебу міст, буд. 69 кв. 988, Красноград, 82110;+380 65 648-16-92;wlahoda@example.net
Сірко;Аркадій;Володимирович;Чоловік;1979-09-24;Секретар;хутір Золочів;площа Керченський 1-й, буд. 84 кв. 33, Берестечко, 04297;012 730 16 55;vdemianchuk@example.com
Терещенко;Олександр;Павлович;Чоловік;1988-08-23;Детектив;селище Керч;узвіз Благовидової, буд. 9 кв. 6, Шепетівка, 32768;066 142 16 40;mykhailobhydenko@example.net
Швайка;Теодор;Августинович;Чоловік;1961-01-10;Кінокритик;селище Дубляни;проспект Гаванна, буд. 6 кв. 8, Краматорськ, 14786;592-36-58;atovstukha@example.com
Артюшенко;Ростислав;Хомович;Чоловік;1960-10-26;Фермер;село Валки ;площа Сливова, буд. 830 кв. 51, Світловодськ, 73236;+380 (39) 240-56-15;ustymtryhub@example.org
Тягнибок;Зорян;Миронович;Чоловік;1972-04-11;Доцент;хутір Золотоноша;узвіз Танкістів, буд. 467, Глиняни, 08200;+380 13 651-58-78;oshapoval@example.org
Ільєнко;Алевтин;Вадимович;Чоловік;2004-05-10;Програміст;село Кадіївка;вулиця Утьосова, буд. 92, Свалява, 57376;+380 50 666-02-91;darynachornovil@example.com
Джунь;Максим;Панасович;Чоловік;1951-12-13;Ботанік;селище Южноукраїнськ;площа Матюшенка, буд. 4, Алмазна, 60141;+380 72 324-18-50;adamtychyna@example.org
Павленко;Леонтій;Антонович;Чоловік;1952-09-17;Музичний редактор;селище Рубіжне;вулиця Курська, буд. 55 кв. 80, Очаків, 98006;028 585 91 76;rakzlatoslava@example.net
Якименко;Тарас;Аврелійович;Чоловік;2008-04-14;Патологоанатом;село Вашківці;вулиця Розумовський 1-й, буд. 66, Вовчанськ, 14667;969-74-25;nneporozhnii@example.org
Сірко;Тимофій;Мирославович;Чоловік;1970-03-08;Пекар;селище Довжанськ;узвіз Сортувальна 1-ша, буд. 2, Нетішин, 79785;771-22-49;zlatoslavaatamaniuk@example.com
Усик;Віталій;Азарович;Чоловік;1942-12-05;Електромонтажник;хутір Дергачі;набережна Сосюри, буд. 2 кв. 0, Приморськ (Україна), 13254;+380 67 414-00-60;ludovenko@example.com
Худяк;Орхип;Михайлович;Чоловік;1937-10-10;Машиніст;село Коростишів;вулиця Лермонтовський, буд. 37, Камінь-Каширський, 98633;073 037 79 84;dmytrotsushko@example.net
Данильчук;Зиновій;Едуардович;Чоловік;1990-01-26;Головний меркшейдер;село Красногорівка;узвіз 14-та ст. Великого Фонтану пляж, буд. 835, Снігурівка, 70646;160-06-91;panteleimon28@example.org
Франчук;Пармен;Євгенійович;Чоловік;1953-09-27;Фермер;село Вознесенськ;проспект Нова, буд. 12 кв. 866, Виноградів, 86881;+380 75 861-33-58;jnosenko@example.org
Вергун;Лесь;Варфоломійович;Чоловік;2008-05-31;Музичний редактор;селище Коломия;проспект Уральський, буд. 73 кв. 0, Турка, 80158;+380 00 934-99-28;haidamakamyron@example.net
Артюшенко;Федір;Дмитрович;Чоловік;1995-11-18;Гицель;місто Сторожинець;узвіз Пересипський 1-й, буд. 1 кв. 861, Іловайськ, 73660;636 87 74;vasyl98@example.net
Талан;Пармен;Вʼячеславович;Чоловік;1981-07-15;Краєзнавець;місто Новодністровськ;вулиця Гранатна, буд. 971, Мала Виска, 87505;+380 54 080-78-99;bohuslava03@example.net
Скопенко;Алевтин;Давидович;Чоловік;1980-12-12;Фізик;місто Бердичів;шосе Салтикова-Щедріна, буд. 7, Червоносів, 09012;031 965-38-36;dankookhrim@example.org
Негода;Назар;Антонович;Чоловік;2006-03-20;Гірничий інженер;село Баранівка;набережна Товарний, буд. 3, Харцизьк, 03460;+380 43 791-86-60;pavlodubyna@example.com
Овсієнко;Леон;Едуардович;Чоловік;1977-10-12;Програміст;хутір Вишгород;вулиця Польовий 1-й, буд. 76 кв. 008, Дергачі, 35172;720 56 66;htryhub@example.org
Рубан;Макар;Панасович;Чоловік;1996-01-06;Мірошник;селище Гірник ;сквер Тимірязєва 3-й, буд. 746, Молодогвардійськ, 57363;097 513 70 22;tsarenkonazar@example.org
Чумак;Костянтин;Захарович;Чоловік;1995-07-04;Програміст;хутір Верхівцеве;парк Верещагіна, буд. 355, Чернівці, 62620;+380 12 083-70-09;bevzvarfolomii@example.net
Артимович;Богдан;Климентович;Чоловік;1987-08-24;Прокурор;селище Ромни;шосе Кристаловського, буд. 92, Ізюм, 04380;+380 79 296-61-92;spas30@example.org
Стус;Азар;Охрімович;Чоловік;1979-06-22;Штукатур;селище Кам'янець-Подільський;провулок Лиманчик 2-й Лінія 3-тя, буд. 1, Самбір, 68900;+380 25 302 10 99;iarynashyian@example.net
Мамчур;Трохим;Адамович;Чоловік;1946-07-08;Етнограф;місто Очаків;сквер Цегляна, буд. 87, Інкерман, 46058;+380 14 777-14-72;wiaremkiv@example.net
Демʼяненко;Адам;Дмитрович;Чоловік;1961-06-05;Фізик;місто Миколаїв;парк Політкаторжан, буд. 898 кв. 30, Донецьк, 55432;+380 72 993-40-98;shtokaloleonid@example.com
Корбут;Кирило;Лукʼянович;Чоловік;2004-03-13;Парфюмер;хутір Бердянськ;узвіз Профспілкова, буд. 272 кв. 890, Мелітополь, 53728;+380 38 309-19-45;spas16@example.com
Луценко;Михайло;Назарович;Чоловік;1956-10-21;Бухгалтер;селище Енергодар;проспект Уральський, буд. 265, Ворожба, 25357;+380 67 917 34 63;anastasiia11@example.net
Макаренко;Адам;Охрімович;Чоловік;1939-02-13;Гінеколог;місто Збараж;узвіз Кільовий, буд. 067, Шумськ, 74860;240-84-14;roman00@example.net
Деряжний;Нестор;Леопольдович;Чоловік;1977-12-18;Намотувальник;хутір Щастя ;площа Хімічний 2-й, буд. 72, Глиняни, 96539;+380 65 042-92-38;babiichuktymofii@example.com
Бгиденко;Олег;Олексович;Чоловік;1982-08-16;Скульптор;місто Первомайськ;шосе Аеропортівський 4-й, буд. 58 кв. 440, Путивль, 49258;+380 38 432-38-13;orysia17@example.org
Тимченко;Давид;Амвросійович;Чоловік;1982-10-25;Мовознавець;місто Інкерман;провулок Карантинний узвіз, буд. 456 кв. 5, Коломия, 04527;983-50-15;roman22@example.org
Ященко;Данило;Стефанович;Чоловік;1968-05-23;Географ;село Кремінна;вулиця Мостовий, буд. 892, Устилуг, 16401;948-09-19;kalchenkoalina@example.org
Гупало;Онисим;Леопольдович;Чоловік;1956-05-29;Фермер;хутір Глобине;площа Соляний 1-й, буд. 943 кв. 710, Бахчисарай, 31202;+380 26 884-64-34;varvara81@example.com
Верховинець;Пармен;Георгійович;Чоловік;2008-05-12;Астроном;хутір Городок;площа Уютна, буд. 17 кв. 99, Арциз, 75862;+380 74 737-89-62;alevtynartymovych@example.net
Влох;Феофан;Мирославович;Чоловік;1984-07-15;Сантехнік;місто Липовець;сквер Літакова, буд. 0, Червоноград, 89615;093 89 32;davyd33@example.org
Лемешко;Юстим;Гордійович;Чоловік;1972-10-06;Продюсер;село Новомиргород;сквер Семінарська, буд. 7 кв. 4, Жашків, 78768;974-04-08;baranetssviatoslav@example.net
Гаврилів;Пармен;Зорянович;Чоловік;1961-05-03;Педагог;село Олешки;вулиця Аеродромний 3-й, буд. 318 кв. 96, Зеленодольськ, 41365;629-49-99;halyna03@example.com
Асаула;Яків;Соломонович;Чоловік;1951-06-09;Етнограф;селище Мар'їнка;сквер Державіна, буд. 622 кв. 858, Новогродівка, 91851;046 491 45 02;vshelest@example.com
Аверченко;Мирон;Федорович;Чоловік;2000-02-18;Скульптор;місто Горішні Плавні;набережна Немировича-Данченка, буд. 56 кв. 78, Ніжин, 71928;460 39 70;orestdziuba@example.org
Макогон;Геннадій;Хомович;Чоловік;1998-04-20;Співак;місто Першотравенськ;вулиця Тимірязєва 4-й, буд. 9 кв. 1, Дунаївці, 32005;+380 (04) 946-96-12;mprykhodko@example.com
Палій;Нестор;Августинович;Чоловік;1977-10-27;Музикознавець;хутір Берислав;парк Розумовський 1-й, буд. 456 кв. 84, Біляївка, 11986;011 420 09 05;feofaniurchuk@example.org
Павличенко;Леопольд;Георгійович;Чоловік;2004-07-27;Геофізик;місто Білгород-Дністровський;проспект Рівний, буд. 4, Гуляйполе, 76998;019 731 38 99;havrylivalbert@example.org
Артюх;Степан;Богуславович;Чоловік;1997-07-02;Драматург;місто Бережани;проспект Черняховського, буд. 262 кв. 81, Камінь-Каширський, 21320;+380 57 317-72-31;sahalieva@example.net
Доценко;Ілля;Віталійович;Чоловік;1940-07-06;Мінералог;хутір Судак ;провулок Слєпньова, буд. 641 кв. 622, Жмеринка, 96785;054 608-45-51;kdanylchuk@example.net
Рябець;Демид;Демидович;Чоловік;1952-08-01;Дипломат;село Почаїв;сквер Разумовська, буд. 8 кв. 745, Благовіщенське, 53118;+380 38 770-79-25;hlibmazur@example.com
Саєнко;Єлисей;Глібович;Чоловік;1968-06-26;Дипломат;хутір Верхівцеве;узвіз Красива, буд. 525 кв. 57, Перечин, 27684;012 721 84 03;hrechanykroksolana@example.org
Дуплій;Владислав;Яремович;Чоловік;1973-07-11;Клоун;селище Волочиськ;площа Балтський 8-й, буд. 12 кв. 8, Коростишів, 42449;+380 46 443-90-19;myroslavnehoda@example.org
Лазаренко;Азар;Русланович;Чоловік;1995-02-02;Епідеміолог;село Ужгород;проспект 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 48 кв. 6, Здолбунів, 56291;+380 11 466-75-30;nzinchuk@example.com
Сиротенко;Валентин;Аркадійович;Чоловік;1980-07-25;Слідчий;селище Мелітополь;узвіз Чорноморський 13-й, буд. 7, Березне, 45838;+380 92 501 87 01;olha93@example.com
Євдокименко;Дан;Панасович;Чоловік;1938-09-18;Програміст;село Прилуки;проспект Москвіна, буд. 4 кв. 352, Мукачево, 13060;682 04 11;ealeksiuk@example.org
Даниленко;Олег;Омелянович;Чоловік;1973-10-24;Мікробіолог;село Рогатин;проспект Чорноморка, буд. 8 кв. 62, Вільногірськ, 61349;054 036 11 37;parmen64@example.org
Ященко;Аарон;Станіславович;Чоловік;1967-04-18;Стропальник;село Помічна;сквер Єфімова, буд. 6, Українськ, 16122;183-19-74;zlesyk@example.net
Бездітко;Вадим;Олександрович;Чоловік;1947-11-08;Лікар;село Батурин;площа Агрономічний, буд. 9 кв. 3, Павлоград, 28546;+380 55 431-90-46;rhrechko@example.org
Бабій;Антон;Єфремович;Чоловік;1940-11-23;Астронавт;село Курахове;вулиця Любашівський, буд. 561 кв. 31, Інкерман, 27120;+380 61 769-69-22;barabashviktor@example.com
Онищенко;Віктор;Ааронович;Чоловік;2000-11-14;Євнух;село Костянтинівка;парк Дерибасівська, буд. 0, Покровськ, 38615;679-36-36;filchenko@example.com
Царенко;Ярослав;Несторович;Чоловік;1943-03-06;Програміст;місто Алмазна;шосе Чубаївська, буд. 614 кв. 1, Ворожба, 86465;+380 (09) 012-13-26;kyrylohavrylyshyn@example.org
Парасюк;Георгій;Ігорович;Чоловік;1963-05-02;Будник;місто Малин;провулок Туристський, буд. 9, Хрустальний, 58920;060 259 16 89;valentyn75@example.org
Шелест;Орест;Орестович;Чоловік;1954-07-13;Перекладач;місто Ананьїв;парк Полуничний, буд. 05, Першотравенськ, 69471;+380 93 535-96-16;ddrobakha@example.net
Ґжицький;Ярема;Прохорович;Чоловік;1973-10-03;Режисер;село Рахів;проспект Пілотна, буд. 11 кв. 704, Чугуїв, 91653;+380 (46) 839-13-18;parmen05@example.net
Гоголь-Яновський;Антон;Вʼячеславович;Чоловік;2001-03-16;Геофізик;селище Василівка ;провулок Івана Франка, буд. 36 кв. 83, Вишневе , 99773;+380 73 473-26-56;bhavrylyshyn@example.com
Сиротенко;Олекса;Микитович;Чоловік;1968-04-02;Дерун;хутір Іршава;узвіз Рульовий, буд. 96 кв. 95, Перечин, 75541;+380 21 464-57-88;pzubko@example.net
Артюх;Владислав;Пантелеймонович;Чоловік;1946-01-31;Ветеринар;селище Теплодар;провулок 13-та Суворовська, буд. 6, Добромиль, 57249;+380 54 629-96-32;tetiana79@example.net
Гриценко;Омелян;Костянтинович;Чоловік;1978-06-30;Кушнір;місто Лохвиця;проспект Сонячна, буд. 86 кв. 3, Здолбунів, 58014;+380 40 556-04-69;havriushenkostefan@example.org
Палій;Трохим;Микитович;Чоловік;1942-10-23;Модель;місто Дніпро ;шосе Іподромний, буд. 20 кв. 80, Глухів, 19433;091 833 38 75;vasylyna52@example.com
Ковпак;Омелян;Амвросійович;Чоловік;1943-11-02;Етнограф;хутір Березівка;узвіз Соляний 2-й, буд. 14, Чорнобиль, 04986;536 65 60;shcherbanhalyna@example.com
Безбородько;Максим;Костянтинович;Чоловік;1997-03-11;Кінорежисер;місто Першотравенськ;площа Банний, буд. 31, Авдіївка, 85179;013 925-89-71;halyna76@example.net
Вітер;Венедикт;Федорович;Чоловік;1938-04-18;Математик;селище Фастів;проспект 13-та Суворовська, буд. 98, Хрустальний, 85723;+380 31 956 10 06;fzhaivoron@example.net
Слюсар;Аврелій;Вʼячеславович;Чоловік;1939-08-24;Художник;хутір Бердянськ;сквер Градоначальницька, буд. 192, Білицьке, 11040;+380 (86) 488-22-51;derkachvitalii@example.net
Аверченко;Віктор;Пантелеймонович;Чоловік;1943-12-12;Льотчик;хутір Вознесенськ;площа Люстдорфський, буд. 45, Валки , 69627;+380 05 634-12-17;tshtokalo@example.org
Шинкаренко;Едуард;Кирилович;Чоловік;1992-10-01;Ювелір;хутір Гнівань;вулиця Тетяни Тесс, буд. 99, Новий Буг, 29061;+380 (46) 284-31-48;veniiamyn15@example.com
Башполченко;Макар;Мартинович;Чоловік;1973-05-22;Етнограф;селище Монастириська;площа Амурський 1-й, буд. 110 кв. 595, Новодністровськ, 12190;+380 77 303-15-43;atroshchenkovladyslav@example.com
Бабиченко;Марко;Михайлович;Чоловік;1969-05-13;Агроном;хутір Львів;сквер Офіцерська, буд. 21, Острог, 82937;087 516-71-27;demianpavlyk@example.net
